,Median Age,Total Population,Pop_White,Pop_Black,Pop_American_Indian,Population_Asian,Pop_Native_Hawaiian,Pop_Other,Pop_two_or_more_races,Pop_Hispanic_Origin,Commute_Time,Commute_Time_Solo_Automobile,Commute_Time_Carpool,Commute_Time_Public_Transport,Commute_Time_Other,Ed_HighSchool,Ed_GED,Ed_Associates,Ed_Bachelors,Ed_Masters,Ed_Professional,Ed_Doctorate,Median Household Income,LaborForce,Emp_civilian_labor_force,Emp_Total,Median Rent,Median Home Value,Emp_Mgment_Occp_Male,Emp_Comp_Math_Female,Emp_Mgment_Occp_Female,Emp_Comp_Math_Female,NAME,place,state
0,33.8,659009.0,266035.0,318598.0,2174.0,24036.0,271.0,29650.0,18245.0,69106.0,9800480.0,3215480.0,544090.0,4777575.0,476845.0,71315.0,12052.0,14496.0,108252.0,90366.0,38536.0,19162.0,72935.0,385056.0,381551.0,348225.0,1362.0,506100.0,15251.0,12079.0,45557.0,7558.0,"Washington city, District of Columbia",50000,11
1,35.9,8461961.0,3644982.0,2064927.0,33388.0,1159883.0,3995.0,1277265.0,277521.0,2457945.0,150713255.0,28429460.0,6729170.0,106467225.0,2985775.0,1188696.0,214018.0,375851.0,1246538.0,610225.0,177697.0,85065.0,55191.0,4369307.0,4367089.0,3991617.0,1294.0,508900.0,112186.0,74631.0,291733.0,26761.0,"New York city, New York",51000,36
2,31.7,658279.0,348906.0,167282.0,2577.0,61490.0,122.0,45492.0,32410.0,125087.0,10172825.0,3820025.0,637100.0,4651715.0,282035.0,81785.0,12763.0,20664.0,113854.0,59571.0,19259.0,13352.0,58516.0,385571.0,384980.0,354352.0,1369.0,423200.0,15041.0,10257.0,33416.0,3607.0,"Boston city, Massachusetts",07000,25
3,33.9,2714017.0,1321324.0,839917.0,7818.0,165229.0,906.0,310466.0,68357.0,790548.0,41573345.0,20412715.0,3507235.0,15243805.0,1170950.0,368819.0,51774.0,104276.0,399364.0,188113.0,54335.0,27854.0,50434.0,1449953.0,1449413.0,1290814.0,987.0,225200.0,42690.0,29158.0,102607.0,9540.0,"Chicago city, Illinois",14000,17
4,35.0,3918872.0,2055223.0,353023.0,26660.0,452853.0,6716.0,884822.0,139575.0,1905577.0,53256635.0,36487735.0,5158680.0,9194695.0,1561115.0,476667.0,41410.0,158229.0,566474.0,187372.0,70748.0,34199.0,51538.0,2097465.0,2096761.0,1903882.0,1241.0,496300.0,43627.0,30675.0,120898.0,9733.0,"Los Angeles city, California",44000,06
5,32.9,441326.0,263167.0,127708.0,1417.0,20299.0,368.0,17369.0,10998.0,47723.0,4941295.0,4013215.0,578445.0,196860.0,97485.0,38696.0,6913.0,22290.0,91714.0,35657.0,7709.0,6010.0,58641.0,251475.0,251099.0,235866.0,966.0,218200.0,7307.0,9463.0,22150.0,3277.0,"Raleigh city, North Carolina",55000,37
6,32.4,907779.0,688657.0,68651.0,3916.0,61926.0,743.0,55186.0,28700.0,312822.0,11050490.0,8401480.0,1341265.0,793375.0,370930.0,83516.0,16485.0,31113.0,184101.0,74426.0,18366.0,13897.0,60939.0,535744.0,535186.0,508510.0,1106.0,257800.0,14428.0,23707.0,43306.0,6491.0,"Austin city, Texas",05000,48
7,33.5,456378.0,182794.0,239005.0,1308.0,18235.0,202.0,4802.0,10032.0,21838.0,5174585.0,3473740.0,356720.0,1069950.0,147405.0,50029.0,8852.0,14593.0,83300.0,42727.0,15651.0,6793.0,49398.0,245873.0,245575.0,220044.0,998.0,222300.0,10062.0,6139.0,21643.0,2633.0,"Atlanta city, Georgia",04000,13
