,City Name,Facility gym,Latitude,Longitude,Rating,Site Name,Total Count
332,Chicago,Coöp Gym,41.86,-87.67,3.8,The Illinois Medical District,14
333,Chicago,Energym Gym & Nutrition Bar,41.86,-87.67,4.5,The Illinois Medical District,14
334,Chicago,Charter Fitness,41.86,-87.67,2.9,The Illinois Medical District,14
335,Chicago,TITLE Boxing Club Chicago West Loop,41.86,-87.67,4.7,The Illinois Medical District,14
336,Chicago,The Foundry - Union Station CrossFit,41.86,-87.67,5,The Illinois Medical District,14
337,Chicago,St Francis of Assisi Gym,41.86,-87.67,NAN,The Illinois Medical District,14
338,Chicago,Fitness Formula Clubs Corporate Headquarters,41.86,-87.67,3.7,The Illinois Medical District,14
339,Chicago,UIC Sports & Fitness Center,41.86,-87.67,4.5,The Illinois Medical District,14
340,Chicago,Pilsen's Fitness Center,41.86,-87.67,3.9,The Illinois Medical District,14
341,Chicago,Body Shot Boxing Club,41.86,-87.67,4.4,The Illinois Medical District,14
342,Chicago,FitPro West,41.86,-87.67,5,The Illinois Medical District,14
343,Chicago,CrossFit Commitment,41.86,-87.67,4.7,The Illinois Medical District,14
344,Chicago,"Planet Fitness - Chicago (Little Village), IL",41.85,-87.66,4.2,The 78,11
345,Chicago,Lance's Gym,41.85,-87.66,4.7,The 78,11
346,Chicago,Energym Gym & Nutrition Bar,41.85,-87.66,4.5,The 78,11
347,Chicago,Charter Fitness,41.85,-87.66,2.9,The 78,11
348,Chicago,St Francis of Assisi Gym,41.85,-87.66,NAN,The 78,11
349,Chicago,UIC Sports & Fitness Center,41.85,-87.66,4.5,The 78,11
350,Chicago,Pilsen's Fitness Center,41.85,-87.66,3.9,The 78,11
351,Chicago,TITLE Boxing Club Chicago South Loop,41.85,-87.66,5,The 78,11
352,Chicago,Body Shot Boxing Club,41.85,-87.66,4.4,The 78,11
353,Chicago,CrossFit Commitment,41.85,-87.66,4.7,The 78,11
354,Chicago,South Loop Strength & Conditioning - Home of South Loop CrossFit,41.85,-87.66,4.9,The 78,11
355,Chicago,LA Fitness,41.83,-87.6,3,Burnham Lakefront,1
356,Raleigh,Crossfit RTP,35.9,-78.87,5,Research Triangle Park,5
357,Raleigh,RTP Fitness,35.9,-78.87,4.1,Research Triangle Park,5
358,Raleigh,Back2Basics Boxing,35.9,-78.87,4.6,Research Triangle Park,5
359,Raleigh,CrossFit 919,35.9,-78.87,5,Research Triangle Park,5
360,Raleigh,United Thai Boxing & MMA,35.9,-78.87,4.7,Research Triangle Park,5
361,Raleigh,O2 Fitness,35.85,-79.08,4.1,Chatham Park,1
362,Raleigh,HEAT - Studio Gym,35.77,-78.64,4.6,Warehouse District,6
363,Raleigh,Spider Strength Gym,35.77,-78.64,5,Warehouse District,6
364,Raleigh,Jawbreaker Boxing,35.77,-78.64,4.8,Warehouse District,6
365,Raleigh,CrossFit Invoke,35.77,-78.64,5,Warehouse District,6
366,Raleigh,Second Round,35.77,-78.64,4.3,Warehouse District,6
367,Raleigh,MADabolic,35.77,-78.64,5,Warehouse District,6
368,Atlanta,Orangetheory Fitness,33.7615,-84.3856,4.6,Downtown Atlanta,12
369,Atlanta,The BRADY APTS GYM,33.7615,-84.3856,NAN,Downtown Atlanta,12
370,Atlanta,Unit 2 Fitness,33.7615,-84.3856,4.3,Downtown Atlanta,12
371,Atlanta,Universal Fitness,33.7615,-84.3856,4.7,Downtown Atlanta,12
372,Atlanta,The Training Room ATL,33.7615,-84.3856,4.9,Downtown Atlanta,12
373,Atlanta,Vesta Movement,33.7615,-84.3856,4.8,Downtown Atlanta,12
374,Atlanta,The Forum Athletic Club,33.7615,-84.3856,4.4,Downtown Atlanta,12
375,Atlanta,CrossFit Downtown Atlanta,33.7615,-84.3856,4.9,Downtown Atlanta,12
376,Atlanta,Exhale Atlanta - Midtown,33.7615,-84.3856,4.1,Downtown Atlanta,12
377,Atlanta,Torq Cycle,33.7615,-84.3856,4.9,Downtown Atlanta,12
378,Atlanta,Lovely Bodies,33.7615,-84.3856,4.6,Downtown Atlanta,12
379,Atlanta,Snap Fitness,33.7615,-84.3856,4.5,Downtown Atlanta,12
380,Atlanta,Personalized Fitness,34.5129,-93.0431,5,Midtown,3
381,Atlanta,The Gypsy Love Ranch,34.5129,-93.0431,3,Midtown,3
382,Atlanta,Lions Den,34.5129,-93.0431,NAN,Midtown,3
383,Atlanta,CrossFit Chamblee,33.904,-84.2843,4.7,Former GM plant,6
384,Atlanta,Stone Summit Climbing and Fitness Center,33.904,-84.2843,4.6,Former GM plant,6
385,Atlanta,SWEET SCIENCE FITNESS BOXING CLUB,33.904,-84.2843,4.8,Former GM plant,6
386,Atlanta,Elite Edge Fitness,33.904,-84.2843,4.8,Former GM plant,6
387,Atlanta,CrossFit HD,33.904,-84.2843,4.8,Former GM plant,6
388,Atlanta,Team Octopus Chamblee,33.904,-84.2843,4.9,Former GM plant,6
389,Atlanta,Jump Start Gym,33.9133,-84.3888,4,The High Street Site,4
390,Atlanta,Anytime Fitness,33.9133,-84.3888,5,The High Street Site,4
391,Atlanta,Life Time Athletic,33.9133,-84.3888,3.6,The High Street Site,4
392,Atlanta,LA Fitness,33.9133,-84.3888,3.2,The High Street Site,4
393,Austin,Mecca Gym & Spa,30.2586,-97.7444,3.8,American-Statesman ,9
394,Austin,Castle Hill Fitness Gym & Spa,30.2586,-97.7444,4.7,American-Statesman ,9
395,Austin,Gold's Gym,30.2586,-97.7444,3.6,American-Statesman ,9
396,Austin,CrossFit 2024,30.2586,-97.7444,5,American-Statesman ,9
397,Austin,Pure Austin Fitness,30.2586,-97.7444,4.1,American-Statesman ,9
398,Austin,CrossFit Central Downtown,30.2586,-97.7444,4.6,American-Statesman ,9
399,Austin,City Surf Fitness Austin,30.2586,-97.7444,5,American-Statesman ,9
400,Austin,Tetra Fitness,30.2586,-97.7444,4.9,American-Statesman ,9
401,Austin,Rumble ATX Boxing and Fitness,30.2586,-97.7444,4.7,American-Statesman ,9
402,Austin,YMCA of Austin - East Communities Y,30.2714,-97.6647,3.9,Eightfold,2
403,Austin,Fortitude Strength & Conditioning - Easy is Evil CrossFit,30.2714,-97.6647,5,Eightfold,2
404,Austin,Planet Fitness,30.199,-97.8276,4.5,Former 3M site,9
405,Austin,The Little Gym of Austin South,30.199,-97.8276,4.9,Former 3M site,9
406,Austin,Star Center Gymnastics and Cheer,30.199,-97.8276,3.7,Former 3M site,9
407,Austin,Life Time Fitness,30.199,-97.8276,2.5,Former 3M site,9
408,Austin,Brodie Park CrossFit,30.199,-97.8276,4.8,Former 3M site,9
409,Austin,24 Hour Fitness,30.199,-97.8276,3.8,Former 3M site,9
410,Austin,South Austin Gym,30.199,-97.8276,4.1,Former 3M site,9
411,Austin,LA Fitness,30.199,-97.8276,4,Former 3M site,9
412,Austin,Impact Strong,30.199,-97.8276,4.8,Former 3M site,9
413,Austin,24 Hour Fitness,30.4015,-97.7268,3.5,The Domain,7
414,Austin,Anytime Fitness,30.4015,-97.7268,4.2,The Domain,7
415,Austin,GYM ONE,30.4015,-97.7268,4.6,The Domain,7
416,Austin,illuminate Gym,30.4015,-97.7268,5,The Domain,7
417,Austin,Orangetheory Fitness- Arbor Town Square,30.4015,-97.7268,4.8,The Domain,7
418,Austin,CrossFit REP,30.4015,-97.7268,4.9,The Domain,7
419,Austin,Charneski Fight Team TX,30.4015,-97.7268,NAN,The Domain,7
420,Austin,Anytime Fitness,30.4014,-97.7147,4.2,Bardmoor Campus,5
421,Austin,Big Tex Gym,30.4014,-97.7147,4.8,Bardmoor Campus,5
422,Austin,GYM ONE,30.4014,-97.7147,4.6,Bardmoor Campus,5
423,Austin,CrossFit REP,30.4014,-97.7147,4.9,Bardmoor Campus,5
424,Austin,Charneski Fight Team TX,30.4014,-97.7147,NAN,Bardmoor Campus,5
425,Austin,24 Hour Fitness,30.4704,-97.7701,3.4,Robinson Ranch,8
426,Austin,Anytime Fitness,30.4704,-97.7701,4.3,Robinson Ranch,8
427,Austin,Gold's Gym,30.4704,-97.7701,4,Robinson Ranch,8
428,Austin,Life Time Fitness,30.4704,-97.7701,3.9,Robinson Ranch,8
429,Austin,Woodward CrossFit,30.4704,-97.7701,4.5,Robinson Ranch,8
430,Austin,Austin Gymnastics Club,30.4704,-97.7701,5,Robinson Ranch,8
431,Austin,Fitness Connection,30.4704,-97.7701,2.8,Robinson Ranch,8
432,Austin,TumblePro Austin,30.4704,-97.7701,4.3,Robinson Ranch,8
