,Amazon City,Walk score,Bike score,Transit score,Walk score (Normalized),Transit score (Normalized),Bike score (Normalized),Score combined,Rank
5,New York,86.25,76.0,95.75,17.25,45.0025,9.12,71.3725,1
3,Chicago,76.375,78.25,81.0,15.275,38.07,9.389999999999999,62.735,2
2,Boston,69.5,68.5,76.25,13.9,35.8375,8.219999999999999,57.957499999999996,3
8,Washington DC,53.5,71.25,73.0,10.700000000000001,34.309999999999995,8.549999999999999,53.559999999999995,4
7,Raleigh,32.666666666666664,62.0,73.0,6.533333333333333,34.309999999999995,7.4399999999999995,48.28333333333333,5
0,Atlanta,54.25,74.0,55.0,10.850000000000001,25.849999999999998,8.879999999999999,45.58,6
4,Los Angeles,48.666666666666664,65.0,42.0,9.733333333333334,19.74,7.8,37.27333333333333,7
1,Austin,29.571428571428573,49.0,39.0,5.914285714285715,18.33,5.88,30.124285714285712,8
